;C11;C2;C8;C9;D11;D17;D23;D25;D5;D7;D8;H11;H13;H14;H17;H19;H2;H20;H21;H22;H25;H26;H28;H33;H36;H37;H38;H39;H4;H6;H64;H65;H66;H67;H74;H75;H81;H9;L1;L12;L13;L14;L18;L19;L20;L21;L25;L28;L3;L39;L4
1;0;0;0;0;0;0;0;0;2,728927;0;0;0;2,728927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;0;0;0;4,733105;0;0;0;0;0;4,733105;0;0;0;0;0;0;0;0;4,733105;0;28,398633;0;4,733105;0;0;0;0;0;0;0;0;0;0;4,733105;0;0;0;0;4,733105;0;0;0;0;0;0;9,466211;0;0;0;0
6;0;0;0;9,318378;0;0;0;0;0;0;0;0;0;12,424504;0;0;6,212252;0;0;0;0;0;0;0;0;0;0;0;0;0;3,106126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0;0;0;0;0;0;0;0;0;0;0;0;0;3,208556;0;0;28,877005;0;0;12,834225;0;32,085561;0;0;0;22,459893;3,208556;0;0;0;0;3,208556;0;0;0;0;0;12,834225;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0;4,024145;0;0;12,072435;0;0;0;0;0;0;0;0;24,144869;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;0;0;12,486993;0;0;0;0;4,162331;0;0;0;0;4,162331;0;0;4,162331;0;0;4,162331;0;0;0;0;0;4,162331;0;8,324662;0;0;0;0;0;0;0;0;0;4,162331;0;0;8,324662;0;0;0;0;0;0;0;0;0;70,759625
19;0;0;0;0;0;0;0;0;0;0;0;0;52,168513;0;0;0;0;22,35793;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,726322;0;0;0;3,726322;0;0;0;0;0;0
20;0;0;0;0;0;0;0;0;2,040469;0;0;0;28,56657;8,161877;0;4,080939;0;63,25455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,040469
21;0;0;0;0;0;0;0;0;0;0;0;0;38,238702;34,762457;0;0;0;83,4299;6,952491;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,476246;0;0;0;0;0
22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89,925062;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;0;0;0;0;0;0;0;0;0;0;0;9,385999;0;0;0;0;0;0;0;0;0;0;0;23,464998;0;0;0;0;0;0;0;0;0;0;4,693;0;0;0;0;0;0;0;0;0;0;0;0;9,385999;0;0;0
29;0;0;0;0;0;0;3,262643;3,262643;0;0;0;0;0;3,262643;0;0;9,787928;0;0;0;16,31321;0;0;3,262643;16,313214;0;0;0;22,8385;13,05057;3,262643;0;0;3,262643;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29,363785
31;0;0;0;0;3,159003;0;0;0;0;0;0;0;3,159003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,159003
38;0;0;0;0;0;0;0;0;0;0;0;0;13,360549;0;0;0;6,680275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20,040824;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,912442;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,824885;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
43;0;0;0;0;0;0;0;0;0;0;0;0;0;22,291022;0;0;0;0;0;0;0;22,291022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,720848;0;0;0;0;0;0;33,92226;0;0;0;0;0;0;0;0;0;4,240283;0;0;8,480565;46,64311;67,84452;0;0;0;0;80,56537;0;0
58;0;0;4,990988;0;0;0;0;0;4,990988;0;0;4,990988;0;0;0;0;19,963954;0;0;0;0;4,990988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9,981977
59;0;0;0;0;0;0;0;0;0;0;0;4,971346;2,485673;12,428364;0;0;12,428364;12,42836;0;0;0;27,342401;0;0;0;0;0;0;0;0;0;0;0;0;4,971346;0;0;0;0;2,485673;0;0;0;0;0;0;0;0;0;0;0
62;0;0;0;12,931034;0;0;0;0;0;0;0;0;0;0;0;0;6,465517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
64;0;0;0;0;0;0;0;0;0;0;6,884682;13,769363;0;0;0;0;0;13,76936;0;0;0;6,884682;34,42341;0;6,884682;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29,19708;0;0;0;0
68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,498438;0;52,48906;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,99688;0;0;0;0;0;0;0;0;0;0;0;0;0;0
75;16,5784;24,8676;0;0;0;0;0;0;0;0;0;8,289201;0;33,156804;16,5784;0;0;0;0;24,867603;0;0;0;0;0;0;0;8,289201;16,5784;49,73521;0;0;8,289201;0;0;0;0;41,446005;0;0;0;0;0;0;0;0;0;0;0;0;74,602809
81;0;0;0;5,484878;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85;0;0;0;0;0;0;0;0;0;0;2,88346;0;0;0;0;0;2,88346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
92;0;0;0;0;0;0;0;0;0;0;7,728639;0;15,457278;7,728639;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69,55775;0;0;0;0;0;0;0;0;0;0;0;0;7,728639;0;0;0
95;0;0;0;0;0;6,789891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20,36967;0;0;0;0;0;0;0;0;0;0;0;0;0;6,789891;0
99;0;0;0;6,876791;0;20,630372;0;0;0;0;0;0;0;0;0;0;6,876791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,04501;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
